title,description,coding
Why is Kamala Harris still asking for campaign donations?,"A week after losing the election, Kamala Harris's team are still appealing for funds.",negative
The blue wall was Kamala Harris' clearest path to the White House. Here's why it faded away.,Vice President Harris sought to bring together the coalition that had elected President Biden. But an array of challenges proved to be insurmountable.,negative
Chris Christie: Most effective Trump ad was ‘Kamala Harris is for they/them’,,negative
Harris Surrogate Says Joe Biden Gave a ‘Big F You’ to Fellow Democrats With Kamala Endorsement | Video,,neutral
Canvassing for Kamala Harris in Pennsylvania,Jennifer Egan writes about going door to door in Philadelphia and Allentown before the 2024 election in order to rally support for the Democrat in her campaign against Donald Trump.,neutral
"No, Oprah Winfrey Wasn't Paid $1 Million To Endorse Kamala Harris","""Oprah was not paid. The internet is a machine that devours trust"" — Hank Green.View Entire Post ›",neutral
Jill Biden's apparent cold shoulder for Kamala Harris ignites social media,,negative
"I spent Election week on Twitter (X) but I didn't have to see political posts. This extension uses AI to block mentions of Donald Trump, Kamala Harris, or politics.",A new browser extension uses AI to filter out political content from X (formerly Twitter).,neutral
Pharrell Williams Denies Dissing Taylor Swift's Kamala Harris Endorsement,Pharrell Williams criticized music stars on both sides of the aisle campaigning for their presidential picks ahead of the election ... but is flat-out denying he was gunning at Taylor Swift!!! The superproducer-turned-Louis Vuitton fashion czar…,neutral
"Joe Biden, Kamala Harris Out Together for 1st Time Since Election Loss","President Joe Biden and Vice President Kamala Harris are carrying on after last week's election loss ... with the political team stepping out for a Veterans Day ceremony. The president and his VP were back on duty Monday, attending a laying of a…",neutral
Alan Ruck Thinks 'Misogyny' Played a Factor in Kamala Harris' Loss,"Alan Ruck is weighing in on the results of the 2024 presidential election ... sharing his belief that ""misogyny"" played a role in Kamala Harris' big loss. We caught up with the ""Succession"" star at LAX after the election, and he admitted he was…",neutral
Jimmy Kimmel Says Donald Trump's Victory Over Kamala Harris Was a 'Terrible Night',"Jimmy Kimmel got choked up during the opening monologue of his late-night show, telling his audience it was ""terrible"" that Donald Trump beat Kamala Harris in the 2024 presidential election. The comedian came out onstage Wednesday evening for…",positive
Kamala Harris Could Earn Big Bucks With Speaking Gigs After Election Loss,"Vice President Kamala Harris may've lost the 2024 Presidential Election, but her future is still looking bright ... the politician could rake in the dough with speaking engagements. Darren Prince, the CEO of Prince Marketing Group, tells TMZ ...…",positive
Andrew Yang Says Kamala Harris Screwed Up by Not Going on Joe Rogan Podcast,"Andrew Yang says Kamala Harris made a major misstep during the campaign ... claiming she should've spent a few hours in Austin, Texas -- speaking to Joe Rogan! The 2020 presidential candidate stopped by ""TMZ Live"" Friday to talk about why Democrats…",negative
Beyond abortion rights: Why did Kamala Harris lose women’s votes?,The number of American women voting Democratic declines after Joe Biden's election to the presidency. Why?,negative
How Kamala Harris and the Democrats lost the 2024 US election,Marc Lamont Hill dissects the reasons behind a historic election victory for Donald Trump.,negative
Oprah Winfrey Details How Her Company Spent $1 Million From Kamala Harris’ Campaign on ‘Unite for America’,"Despite the inaccurate reporting and speculation that Oprah Winfrey was personally paid by the Kamala Harris campaign to participate in the “Unite for America” livestream rally in September, Winfrey has once again confirmed that the $1 million spent by the ca…",neutral
"Media CEOs Weigh In On Washington Post And LA Times Non-Endorsements Of Kamala Harris, AI And Covering Trump 2.0","In a wide-ranging discussion Wednesday about the unsettled state of journalism, two media CEOs weighed in on covering Donald Trump and the decision by the Washington Post and LA Times to not endorse a presidential candidate. Steve Hasker, CEO of Thomson Reute…",neutral
John Oliver Jokes Katy Perry’s “Ill-Advised” Whitney Houston Cover Is To Blame For Kamala Harris’ Election Loss: “It’s OK Not To Have The Range”,"In an episode dedicated to unpacking the 2024 presidential election results, John Oliver’s through-line toward making sense of Kamala Harris’ loss was a running joke pinning the blame on Katy Perry’s “ill-advised” cover of Whitney Houston’s “Greatest Love of …",neutral
"Joe Biden, In First Speech Since Kamala Harris’ Loss To Donald Trump, Says “A Defeat Does Not Mean We Are Defeated”","In his first speech since Kamala Harris lost the presidential race to Donald Trump, President Joe Biden vowed a peaceful transition of power and said that many of his administration’s accomplishments would be felt over the next decade. In his Rose Garden addr…",neutral
"Oprah Winfrey Says She Was Not Paid To Endorse Kamala Harris, And There’s A Legal Reason Why VP’s Campaign Spent $1 Million On Harpo Productions",Oprah Winfrey has tried to tamp down the notion — which has gotten some traction on social media — that she was paid $1 million to endorse Kamala Harris. The story gained fuel after a Washington Times story that cited campaign finance records showing that Opr…,negative
